ticker,company,sector,location,founded_year,date_added
RJF,Raymond James Financial,Financials,Florida,1962,2017-03-20
RTX,RTX Corporation,Industrials,Massachusetts,1922,1957-03-04
O,Realty Income,Real Estate,California,1969,2015-04-07
REG,Regency Centers,Real Estate,Florida,1963,2017-03-02
REGN,Regeneron Pharmaceuticals,Health Care,New York,1988,2013-05-01
RF,Regions Financial Corporation,Financials,Alabama,1971,1998-08-28
RSG,Republic Services,Industrials,Arizona,1998,2008-12-05
RMD,ResMed,Health Care,California,1989,2017-07-26
RVTY,Revvity,Health Care,Massachusetts,1937,1985-05-31
ROK,Rockwell Automation,Industrials,Wisconsin,1903,2000-03-12
ROL,"Rollins, Inc.",Industrials,Georgia,1948,2018-10-01
ROP,Roper Technologies,Information Technology,Florida,1981,2009-12-23
ROST,Ross Stores,Consumer Discretionary,California,1982,2009-12-21
RCL,Royal Caribbean Group,Consumer Discretionary,Florida,1997,2014-12-05
SPGI,S&P Global,Financials,New York,1917,1957-03-04
CRM,Salesforce,Information Technology,California,1999,2008-09-15
SBAC,SBA Communications,Real Estate,Florida,1989,2017-09-01
SLB,Schlumberger,Energy,Texas,1926,1957-03-04
STX,Seagate Technology,Information Technology,Ireland,1979,2012-07-02
SRE,Sempra,Utilities,California,1998,2017-03-17
NOW,ServiceNow,Information Technology,California,2003,2019-11-21
SHW,Sherwin-Williams,Materials,Ohio,1866,1964-06-30
SPG,Simon Property Group,Real Estate,Indiana,2003,2002-06-26
SWKS,Skyworks Solutions,Information Technology,California,2002,2015-03-12
SJM,J.M. Smucker Company (The),Consumer Staples,Ohio,1897,2008-11-06
SW,Smurfit Westrock,Materials,Ireland,1934,2024-07-08
SNA,Snap-on,Industrials,Wisconsin,1920,1982-09-30
SOLV,Solventum,Health Care,Minnesota,2023,2024-04-01
SO,Southern Company,Utilities,Georgia,1945,1957-03-04
LUV,Southwest Airlines,Industrials,Texas,1967,1994-07-01
SWK,Stanley Black & Decker,Industrials,Connecticut,1843,1982-09-30
SBUX,Starbucks,Consumer Discretionary,Washington,1971,2000-06-07
STT,State Street Corporation,Financials,Massachusetts,1792,2003-03-14
STLD,Steel Dynamics,Materials,Indiana,1993,2022-12-22
STE,Steris,Health Care,Ireland,1985,2019-12-23
SYK,Stryker Corporation,Health Care,Michigan,1941,2000-12-12
SMCI,Supermicro,Information Technology,California,1993,2024-03-18
SYF,Synchrony Financial,Financials,Connecticut,2003,2015-11-18
SNPS,Synopsys,Information Technology,California,1986,2017-03-16
SYY,Sysco,Consumer Staples,Texas,1969,1986-12-31
TMUS,T-Mobile US,Communication Services,Washington,1994,2019-07-15
TROW,T. Rowe Price,Financials,Maryland,1937,2019-07-29
TTWO,Take-Two Interactive,Communication Services,New York,1993,2018-03-19
TPR,"Tapestry, Inc.",Consumer Discretionary,New York,2017,2004-09-01
TRGP,Targa Resources,Energy,Texas,2005,2022-10-12
TGT,Target Corporation,Consumer Staples,Minnesota,1902,1976-12-31
TEL,TE Connectivity,Information Technology,Ireland,2007,2011-10-17
TDY,Teledyne Technologies,Information Technology,California,1960,2020-06-22
TER,Teradyne,Information Technology,Massachusetts,1960,2020-09-21
TSLA,"Tesla, Inc.",Consumer Discretionary,Texas,2003,2020-12-21
TXN,Texas Instruments,Information Technology,Texas,1930,2001-03-12
TPL,Texas Pacific Land Corporation,Energy,Texas,1888,2024-11-26
TXT,Textron,Industrials,Rhode Island,1923,1978-12-31
TMO,Thermo Fisher Scientific,Health Care,Massachusetts,2006,2004-08-03
TJX,TJX Companies,Consumer Discretionary,Massachusetts,1987,1985-09-30
TKO,TKO Group Holdings,Communication Services,New York,2023,2025-03-24
TSCO,Tractor Supply,Consumer Discretionary,Tennessee,1938,2014-01-24
TT,Trane Technologies,Industrials,Ireland,1871,2010-11-17
TDG,TransDigm Group,Industrials,Ohio,1993,2016-06-03
TRV,Travelers Companies (The),Financials,New York,1853,2002-08-21
TRMB,Trimble Inc.,Information Technology,Colorado,1978,2021-01-21
TFC,Truist Financial,Financials,North Carolina,1872,1997-12-04
TYL,Tyler Technologies,Information Technology,Texas,1966,2020-06-22
TSN,Tyson Foods,Consumer Staples,Arkansas,1935,2005-08-10
USB,U.S. Bancorp,Financials,Minnesota,1968,1999-11-01
UBER,Uber,Industrials,California,2009,2023-12-18
UDR,"UDR, Inc.",Real Estate,Colorado,1972,2016-03-07
ULTA,Ulta Beauty,Consumer Discretionary,Illinois,1990,2016-04-18
UNP,Union Pacific Corporation,Industrials,Nebraska,1862,1957-03-04
UAL,United Airlines Holdings,Industrials,Illinois,1967,2015-09-03
UPS,United Parcel Service,Industrials,Georgia,1907,2002-07-22
URI,United Rentals,Industrials,Connecticut,1997,2014-09-20
UNH,UnitedHealth Group,Health Care,Minnesota,1977,1994-07-01
UHS,Universal Health Services,Health Care,Pennsylvania,1979,2014-09-20
VLO,Valero Energy,Energy,Texas,1980,2002-12-20
VTR,Ventas,Real Estate,Illinois,1998,2009-03-04
VLTO,Veralto,Industrials,Massachusetts,2023,2023-10-02
