ticker,company,sector,location,founded_year,date_added
GE,GE Aerospace,Industrials,Ohio,1892,1957-03-04
GEHC,GE HealthCare,Health Care,Illinois,1994,2023-01-04
GEV,GE Vernova,Industrials,Massachusetts,2024,2024-04-02
GEN,Gen Digital,Information Technology,Arizona,1982,2003-03-25
GNRC,Generac,Industrials,Wisconsin,1959,2021-03-22
GD,General Dynamics,Industrials,Virginia,1899,1957-03-04
GIS,General Mills,Consumer Staples,Minnesota,1856,1957-03-04
GM,General Motors,Consumer Discretionary,Michigan,1908,2013-06-06
GPC,Genuine Parts Company,Consumer Discretionary,Georgia,1925,1973-12-31
GILD,Gilead Sciences,Health Care,California,1987,2004-07-01
GPN,Global Payments,Financials,Georgia,2000,2016-04-25
GL,Globe Life,Financials,Texas,1900,1989-04-30
GDDY,GoDaddy,Information Technology,Arizona,1997,2024-06-24
GS,Goldman Sachs,Financials,New York,1869,2002-07-22
HAL,Halliburton,Energy,Texas,1919,1957-03-04
HIG,Hartford (The),Financials,Connecticut,1810,1957-03-04
HAS,Hasbro,Consumer Discretionary,Rhode Island,1923,1984-09-30
HCA,HCA Healthcare,Health Care,Tennessee,1968,2015-01-27
DOC,Healthpeak Properties,Real Estate,Colorado,1985,2008-03-31
HSIC,Henry Schein,Health Care,New York,1932,2015-03-17
HSY,Hershey Company (The),Consumer Staples,Pennsylvania,1894,1957-03-04
HES,Hess Corporation,Energy,New York,1919,1984-05-31
HPE,Hewlett Packard Enterprise,Information Technology,Texas,2015,2015-11-02
HLT,Hilton Worldwide,Consumer Discretionary,Virginia,1919,2017-06-19
HOLX,Hologic,Health Care,Massachusetts,1985,2016-03-30
HD,Home Depot (The),Consumer Discretionary,Georgia,1978,1988-03-31
HON,Honeywell,Industrials,North Carolina,1906,1957-03-04
HRL,Hormel Foods,Consumer Staples,Minnesota,1891,2009-03-04
HST,Host Hotels & Resorts,Real Estate,Maryland,1993,2007-03-20
HWM,Howmet Aerospace,Industrials,Pennsylvania,1888,2016-10-21
HPQ,HP Inc.,Information Technology,California,1939,1974-12-31
HUBB,Hubbell Incorporated,Industrials,Connecticut,1888,2023-10-18
HUM,Humana,Health Care,Kentucky,1961,2012-12-10
HBAN,Huntington Bancshares,Financials,Michigan,1866,1997-08-28
HII,Huntington Ingalls Industries,Industrials,Virginia,2011,2018-01-03
IBM,IBM,Information Technology,New York,1911,1957-03-04
IEX,IDEX Corporation,Industrials,Illinois,1988,2019-08-09
IDXX,Idexx Laboratories,Health Care,Maine,1983,2017-01-05
ITW,Illinois Tool Works,Industrials,Illinois,1912,1986-02-28
INCY,Incyte,Health Care,Delaware,1991,2017-02-28
IR,Ingersoll Rand,Industrials,North Carolina,1859,2020-03-03
PODD,Insulet Corporation,Health Care,Massachusetts,2000,2023-03-15
INTC,Intel,Information Technology,California,1968,1976-12-31
ICE,Intercontinental Exchange,Financials,Georgia,2000,2007-09-26
IFF,International Flavors & Fragrances,Materials,New York,1958,1976-03-31
IP,International Paper,Materials,Tennessee,1898,1957-03-04
IPG,Interpublic Group of Companies (The),Communication Services,New York,1961,1992-10-01
INTU,Intuit,Information Technology,California,1983,2000-12-05
ISRG,Intuitive Surgical,Health Care,California,1995,2008-06-02
IVZ,Invesco,Financials,Georgia,1935,2008-08-21
INVH,Invitation Homes,Real Estate,Texas,2012,2022-09-19
IQV,IQVIA,Health Care,North Carolina,1982,2017-08-29
IRM,Iron Mountain,Real Estate,Massachusetts,1951,2009-01-06
JBHT,J.B. Hunt,Industrials,Arkansas,1961,2015-07-01
JBL,Jabil,Information Technology,Florida,1966,2023-12-18
JKHY,Jack Henry & Associates,Financials,Missouri,1976,2018-11-13
J,Jacobs Solutions,Industrials,Texas,1947,2007-10-26
JNJ,Johnson & Johnson,Health Care,New Jersey,1886,1973-06-30
JCI,Johnson Controls,Industrials,Ireland,1885,2010-08-27
JPM,JPMorgan Chase,Financials,New York,2000,1975-06-30
JNPR,Juniper Networks,Information Technology,California,1996,2006-06-02
K,Kellanova,Consumer Staples,Illinois,1906,1989-09-11
KVUE,Kenvue,Consumer Staples,New Jersey,2022,2023-08-25
KDP,Keurig Dr Pepper,Consumer Staples,Massachusetts,1981,2022-06-21
KEY,KeyCorp,Financials,Ohio,1825,1994-03-01
KEYS,Keysight Technologies,Information Technology,California,2014,2018-11-06
KMB,Kimberly-Clark,Consumer Staples,Texas,1872,1957-03-04
KIM,Kimco Realty,Real Estate,New York,1958,2006-04-04
KMI,Kinder Morgan,Energy,Texas,1997,2012-05-25
KKR,KKR & Co.,Financials,New York,1976,2024-06-24
KLAC,KLA Corporation,Information Technology,California,1975,1997-09-30
KHC,Kraft Heinz,Consumer Staples,Pennsylvania,2015,2015-07-06
KR,Kroger,Consumer Staples,Ohio,1883,1957-03-04
LHX,L3Harris,Industrials,Florida,2019,2008-09-22
LH,Labcorp,Health Care,North Carolina,1978,2004-11-01
LRCX,Lam Research,Information Technology,California,1980,2012-06-29
LW,Lamb Weston,Consumer Staples,Idaho,2016,2018-12-03
LVS,Las Vegas Sands,Consumer Discretionary,Nevada,1988,2019-10-03
LDOS,Leidos,Industrials,Virginia,1969,2019-08-09
LEN,Lennar,Consumer Discretionary,Florida,1954,2005-10-04
LII,Lennox International,Industrials,Texas,1895,2024-12-23
LLY,Lilly (Eli),Health Care,Indiana,1876,1970-12-31
LIN,Linde plc,Materials,United Kingdom,1879,1992-07-01
LYV,Live Nation Entertainment,Communication Services,California,2010,2019-12-23
LKQ,LKQ Corporation,Consumer Discretionary,Illinois,1998,2016-05-23
LMT,Lockheed Martin,Industrials,Maryland,1995,1957-03-04
L,Loews Corporation,Financials,New York,1959,1995-05-31
